internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
135889,Telmatobius sanborni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,sanborni,,,,,"Schmidt, 1954",De la Riva (2005) resurrected <em>Telmatobius sanborni</em> from the synonymy of <em>Telmatobius marmoratus</em> on the basis of differences in morphological features and colour patterns.
136036,Ctenophryne barbatula,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Ctenophryne,barbatula,,,,,"(Lehr &amp; Trueb, 2007)",
136055,Anodonthyla moramora,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Anodonthyla,moramora,,,,,"Glaw &amp; Vences, 2005",
136056,Zhangixalus yinggelingensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Zhangixalus,yinggelingensis,,,,,"(Chou, Lau &amp; Chan, 2007)",
136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,,"Wake, Savage &amp; Hanken, 2007",This species was confused with<em>&#160;Bolitoglossa pesrubra</em>&#160;prior to its naming (Wake <em>et al. </em>2007). It has been determined by mtDNA phylogeny to be part of the&#160;<em>B. subpalmata</em> clade (Boza-Oveido <em>et al.</em> 2012).
136129,Telmatobius punctatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,punctatus,,,,,"Vellard, 1955",<em>Telmatobius punctatus</em> was previously considered to be a subspecies of <em>Telmatobius brevirostris</em>; it was elevated to specific status by Lehr (2005) based on differences in morphological features and colour patterns.
78526171,Oreobates lehri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Oreobates,lehri,,,,,"(Padial, Chaparro &amp; De la Riva, 2007)","<p><em>Oreobates lehri </em>was initially ascribed to two distant populations, one in Cordillera Vilcabamba, which is now considered typical <em>O. lehri</em>, and one in the Andean hills of the Kosñipata Valley, to which is now assigned to&#160;<em>O. gemcare </em>(Padial <em>et al</em>. 2012).&#160;This is a restricted concept of <em>O. lehri </em>following the split of the broader concept into this and <em>O. gemcare&#160;</em>(Padial&#160;<em>et al</em>. 2012).</p>"
13873,Morenia ocellata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Morenia,ocellata,,,,,"(Duméril &amp; Bibron, 1835)",
13874,Morenia petersi,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Morenia,petersi,,,,,"(Anderson, 1879)",
14765,Nilssonia formosa,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Nilssonia,formosa,,,,,"(Gray, 1869)",
14856,Notochelys platynota,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Notochelys,platynota,,,,,"(Gray, 1834)",
15026,Mauremys sinensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Mauremys,sinensis,,,,,"(Gray, 1834)",Generally considered to consist of at least two morphologically distinguishable lineages.
15185,Ogmodon vitianus,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Ogmodon,vitianus,,,,,"W. Peters, 1864",
15509,Orlitia borneensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Orlitia,borneensis,,,,,"Gray, 1873",
15602,Euryoryzomys lamia,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euryoryzomys,lamia,,,,,"(Thomas, 1901)",
15918,Palea steindachneri,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Palea,steindachneri,,,,,"(Siebenrock, 1906)",
163414,Cuora mouhotii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Cuora,mouhotii,,,,,"(Gray, 1862)","<p>Two subspecies are recognised: <em>Cuora mouhoutii mouhotii</em> (Gray, 1863) and <em>C. m. obsti</em> (Fritz, Andreas &amp; Lehr, 1997).<strong><br/><br/></strong>Traditionally placed in the monotypic genus <em>Pyxidea</em> until Honda <em>et al.</em> (2002) demonstrated that <em>mouhotii</em> is genetically nested inside <em>Cuora</em>. Hybrids of <em>C. mouhotii </em>with<em> Cuora galbinifrons</em> or <em>C. bourreti</em> gave rise to specimens that were erroneously described as a separate species, <em>Cuora serrata</em>.&#160;</p>"
163415,Cyclemys oldhamii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Cyclemys,oldhamii,,,,,"Gray, 1863","Included with&#160;<em>Cyclemys dentata</em>&#160;until very recently.&#160;Previously considered to contain just a single, variable species, <em>Cyclemys </em>remains subject to ongoing taxonomic investigations which rearrange the taxonomy and nomenclature on an ongoing basis.&#160;Key references: Fritz <em>et al</em>. 1996, 1997; Iverson and McCord 1997; Guicking <em>et al</em>. 2002."
163423,Centrochelys sulcata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Centrochelys,sulcata,,,,,"(Miller, 1779)","Previously assigned to the genus&#160;<em>Geochelone</em>, following Loveridge and Williams (1957), the species has more recently been placed in <em>Centrochelys</em> Gray 1872, following Bour (1980), as subsequently recognized by Devaux (2000), TTWG (2017), and Petrozzi <em>et al</em>. (2020b), but not by&#160;Fritz and Havas (2007).&#160;There is very little morphological (Lambert 1993) or genetic (mtDNA) variation in this species; however, there is some divergence between eastern and western subpopulations of <em>C. sulcata</em> based on the presence of two haplotypes (Livoreil and Van Der Kuyl 2005), but subspecies are not recognized."
163448,Cycloderma aubryi,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Cycloderma,aubryi,,,,,"(Duméril, 1856)",
163458,Batagur borneoensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Batagur,borneoensis,,,,,"(Schlegel &amp; Müller, 1844)",
164598,Alsophylax laevis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Alsophylax,laevis,,,,,"Nikolsky, 1907",
164889,Boophis baetkei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Boophis,baetkei,,,,,"Köhler, Glaw &amp; Vences, 2008",
135458600,Pelochelys cantorii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Pelochelys,cantorii,,,,,"Gray, 1864",The conservation assessment of this taxon is complicated by the conviction that the current taxonomic designation hides a complex of several different species.
16503,Pelochelys bibroni,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Pelochelys,bibroni,,,,,"(Owen, 1853)","<em>Pelochelys bibroni</em> was redescribed and separated from <em>Pelochelys cantorii</em> and restricted to the southern lowlands of New Guinea by Webb (1995), based partly on Rhodin <em>et al</em>. (1993). The genetic divergence of <em>P. bibroni</em> from Asian&#160;<em>P. cantorii </em>was<em>&#160;</em>confirmed by Engstrom <em>et al</em>. (2004), but it has yet to be compared genetically with<em> P. signifera </em>(Webb 2003), a morphologically distinct species<em>&#160;</em>from northern New Guinea. No geographic variation has been reported within the species' range and no subspecies have been named."
17026,Phocarctos hookeri,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Phocarctos,hookeri,,,,,"(Gray, 1844)",<p>The taxonomy of sea lions in New Zealand (<em>Phocarctos</em>) and Australia (<em>Neophoca</em>) was confused until it was resolved in a paper by King (1960).<br/></p>
170504,Cyclemys atripons,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Cyclemys,atripons,,,,,"Iverson &amp; McCord, 1997",Included with <em>Cyclemys dentata</em> until very recently. Its status compared to <em>C. pulchristriata</em> needs validation.
170508,Cyclemys pulchristriata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Cyclemys,pulchristriata,,,,,"Fritz, Gaulke &amp; Lehr, 1997",Included with&#160;<em>Cyclemys dentata</em>&#160;until very recently. Its status compared to&#160;<em>C. atripons</em>&#160;needs validation.
170510,Rhinoclemmys diademata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Rhinoclemmys,diademata,,,,,"(Mertens, 1954)","This taxon was originally assigned by Mertens (1954) to the genus <em>Geoemyda</em>, and described as a subspecies of <em>G. punctularia</em> (as <em>G. p. diademata</em>) but later reassigned to <em>Callopsis</em> by Smith <em>et al</em>. (1974). Pritchard (1979) elevated it to full species and transferred it to the genus <em>Rhinoclemmys</em>. Although initially some authors did not recognize its status as a species (e.g., Ernst 1981, Paolillo 1985) this is currently not questioned (TTWG 2021). Most phylogenetic hypotheses have recovered <em>R. diademata</em> as the sister species of <em>R. punctularia</em> and both in turn as sisters to a clade containing <em>R. melanosterna</em> and <em>R. funerea</em> (e.g., Carr 1991, Spinks <em>et al</em>. 2004, Le and McCord 2008, Thomson <em>et a</em>l. 2021). Although Vargas-Ramírez <em>et al</em>. (2013) recovered contradictory relationships for these four species between their mitochondrial and nuclear phylogenies, they argued that their results suggested past gene flow among the species."
170525,Chitra vandijki,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Chitra,vandijki,,,,,"McCord &amp; Pritchard, 2003",
170526,Pelochelys signifera,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Pelochelys,signifera,,,,,"Webb, 2003","In the past, specimens of softshell turtles collected from New Guinea were all originally assigned to what was considered to be a widespread Australasian species,&#160;<em>Pelochelys bibroni&#160;</em>(Owen 1853)<em>,</em>&#160;until Rhodin <em>et al</em>. (1993) and Webb (1995) defined&#160;<em>P.&#160;bibroni</em>&#160;as being restricted to southern New Guinea, and separate from the previously described&#160;<em>P. cantorii</em>&#160;(Gray 1864) in the rest of Asia and northern New <a style=""mso-comment-reference: PPvD_1;mso-comment-date:20180407T1059"">Guinea</a>. Subsequently, Webb (2003) described the northern New Guinea softshell as the new species&#160;<em>Pelochelys signifera</em>. This taxonomy has been accepted since then (TTWG 2017).&#160;<em>Pelochelys signifera</em>&#160;was described largely based on characteristics of a juvenile specimen and coloration and texturing of the carapace to distinguish it from&#160;<em>P. cantorii</em>. No geographic variation has been reported within the species' range and no subspecies have been named. Phylogenetic relationships with&#160;<em>P. cantorii</em>&#160;and&#160;<em>P. bibroni</em>&#160;warrant further investigation."
172024,Phrynops williamsi,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Phrynops,williamsi,,,,,"Rhodin &amp; Mittermeier, 1983",
172524,Rhampholeon acuminatus,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Rhampholeon,acuminatus,,,,,"Mariaux &amp; Tilbury, 2006","Accepted as <span style=""font-style: italic;"">Rhampholeon acuminatus</span> in Mariaux and Tilbury (2006)."
172525,Kinyongia vosseleri,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Kinyongia,vosseleri,,,,,"(Nieden, 1913)","Accepted as <span style=""font-style: italic;"">Kinyongia vosseleri</span> in Mariaux <span style=""font-style: italic;"">et al</span>. (2008)."
172529,Rhampholeon temporalis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Rhampholeon,temporalis,,,,,"(Matschie, 1892)","Accepted as <span style=""font-style: italic;"">Rhampholeon temporalis</span> in Tilbury <span style=""font-style: italic;"">et al</span>. (2006)."
172530,Nadzikambia mlanjensis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Nadzikambia,mlanjensis,,,,,"(Broadley, 1965)","Accepted as <span style=""font-style: italic;"">Nadzikambia mlanjensis</span> in Tilbury <em>et al. </em>(2006, 2007). Populations of chameleons on nearby mountains in Mozambique do not represent this taxon (Branch and Tolley 2010)."
172532,Rhampholeon platyceps,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Rhampholeon,platyceps,,,,,"Günther, 1893","Accepted as <span style=""font-style: italic;"">Rhampholeon platyceps</span> (Tilbury 2010). Populations of <em>Rhampholeon </em>on Mt. Chiperone, Mabu and Namuli are separate taxa and should not be confused with <em>R. platyceps </em>(Branch <em>et al.</em> 2014). In addition, molecular phylogenetic analysis shows that the sub-species, <em>R. platyceps carri </em>is not valid&#160;(Branch&#160;<em>et al.</em>&#160;2014)."
172538,Kinyongia magomberae,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Kinyongia,magomberae,,,,,"Menegon, Tolley, Jones, Rovero, Marshall &amp; Tilbury, 2009","Accepted as <span style=""font-style: italic;"">Kinyongia magomberae</span> in Menegon <span style=""font-style: italic;"">et al</span>. (2009)."
172545,Kinyongia matschiei,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Kinyongia,matschiei,,,,,"(Werner, 1895)","Accepted as <span style=""font-style: italic;"">Kinyongia matschiei</span> in Mariaux <span style=""font-style: italic;"">et al</span>. (2008). Populations occur in the East Usambara Mountains, and these were formerly confused with <em>K. fischeri</em>."
172549,Rhampholeon beraduccii,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Rhampholeon,beraduccii,,,,,"Mariaux &amp; Tilbury, 2006","Accepted as <span style=""font-style: italic;"">Rhampholeon beraduccii</span> in Mariaux and Tilbury (2006)."
172552,Kinyongia tenuis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Kinyongia,tenuis,,,,,"(Matschie, 1892)","Accepted as <span style=""font-style: italic;"">Kinyongia tenuis</span> in Tilbury and Tolley (2009). The status of the Shimba Hills population as belonging to this taxon needs to be confirmed."
172569,Kinyongia excubitor,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Kinyongia,excubitor,,,,,"(Barbour, 1911)","Accepted as <span style=""font-style: italic;"">Kinyongia excubitor</span> in Tilbury <span style=""font-style: italic;"">et al</span>. (2006, 2007)."
172571,Trioceros quadricornis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Trioceros,quadricornis,,,,,"(Tornier, 1899)","Tilbury and Tolley (2009) elevated the former subgenus <em>Chamaeleo</em> (<em>Trioceros</em>) to generic rank. Two morphologically distinct subspecies, corresponding to a northern and southern distribution within the Cameroon mountain chain, are traditionally recognized, the southern <em>T. q. quadricornis</em> (Mertens 1968) and northern <em>T. q. gracilior</em> (Barej <em>et al.</em> 2010). Molecular data supports this division, although suggests a very recent split between these taxa (Barej <em>et al.</em> 2010). Klaver and Böhme (1992) suggest that the assignment of Mt Kupe specimens to <em>T. q. quadricornis</em> requires verification, and that these records may in fact represent a separate, isolated lineage. Barej <em>et al.</em> (2010) also supported the finding by Pook and Wild (1997) that the morphologically divergent and geographically disjunct Eisentraut's chameleon (<em>T. eisentrauti</em>) should be treated as a subspecies of <em>T. quadricornis</em> on molecular grounds, and formally made this change.&#160;Accepted as <em>Trioceros quadricornis</em> in Tolley and Herrel (2014) and Glaw (2015). Glaw (2015) recognizes three subspecies: <em>Trioceros quadricornis quadricornis</em>, <em>Trioceros quadricornis eisentrauti</em>, and <em>Trioceros quadricornis gracilior</em>."
172572,Trioceros pfefferi,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Trioceros,pfefferi,,,,,"(Tornier, 1900)","The subgenus <em>Chamaeleo (Trioceros) </em>was elevated to generic rank by<em> </em>Tilbury and Tolley (2009). Accepted as <em>Trioceros pfefferi </em>in Tilbury and Tolley (2009), Tolley and Herrel (2014), and Glaw (2015)."
172574,Kinyongia multituberculata,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Kinyongia,multituberculata,,,,,"(Nieden, 1913)","Accepted as <span style=""font-style: italic;"">Kinyongia multituberculata</span> in Mariaux <em>et al</em>. (2008) and Tilbury (2010)."
172592,Cnemaspis indraneildasii,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Cnemaspis,indraneildasii,,,,,"Bauer, 2002","<span style=""font-style: italic;"">Cnemaspis indraneildasii</span> was described from Gund, North Kanara, Karnataka (Bauer 2002). The forms belonging to <span style=""font-style: italic;"">Cnemaspis kandiana</span> (Kelaart 1852) (in part) from northern Western Ghats as reported by Smith (1935) are now included under <em>Cnemaspis indraneildasii </em>Bauer, 2002 following Das (2003). &#160;Species boundaries in the <em>C. kandiana</em> complex generally need to be critically re-evaluated. It is likely that&#160;<em>C. indraneildasii&#160;</em>is a junior synonym of&#160;<em>C. goaensis</em>, based on molecular evidence that the two species exhibit ""minimal genetic distances"" (Sayeed&#160;<em>et al.&#160;</em>2018).<p></p>"
172594,Pseudocalotes andamanensis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Pseudocalotes,andamanensis,,,,,"(Boulenger, 1891)",
172599,Eutropis clivicola,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Eutropis,clivicola,,,,,"Inger, Shaffer, Koshy &amp; Bakde, 1984","<span style=""font-style: italic;"">Mabuya </span><span style=""font-style: italic;"">clivicola</span> was described<span style=""font-style: italic;""> </span>based on three specimens collected from Ponmudi, Thiruvananthapuram District, Kerala (Inger <span style=""font-style: italic;"">et al. </span>1984). Following revision  of the genus <span style=""font-style: italic;"">Mabuya</span>  by Mausfeld<span style=""font-style: italic;"">  et al. </span>(2002) this taxon is presently included within <span style=""font-style: italic;"">Eutropis</span> Fitzinger 1843."
172607,Oligodon brevicauda,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Oligodon,brevicauda,,,,,"Günther, 1862","<span style=""font-style: italic;"">Oligodon brevicauda</span> was described by Günther in 1862 based on specimens collected from Anaimalai Hills, Western Ghats in  Coimbatore District, Tamil Nadu (Smith 1943)."
172612,Melanophidium bilineatum,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,UROPELTIDAE,Melanophidium,bilineatum,,,,,"Beddome, 1870","<span style=""font-style: italic;"">Melanophidium bilineatum</span> was described by Beddome in 1870 based on specimens collected from Waynaad, Kerala (Smith 1943)."
172622,Uropeltis phipsonii,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,UROPELTIDAE,Uropeltis,phipsonii,,,,,"(Mason, 1888)","<span style=""font-style: italic;"">Uropeltis phipsonii </span>was described as <span style=""font-style: italic;"">Silybura  phipsonii </span>by Mason in 1888 based on type series collected from the Bombay Ghats between Bombay (=Mumbai) and Pune, Maharashtra,   India   (Boulenger 1890,  Smith 1943). The specific epithet is sometimes erroneously listed as '<span style=""font-style: italic;"">phipsoni</span>'. <span style=""font-style: italic;"">Uropeltis phipsonii </span>has been treated as a synonym of <span style=""font-style: italic;""> Uropeltis rubrolineatus </span>(Günther,1875) by Gans (1966) and revalidated by  Rajendran (1985)."
172629,Dasia subcaerulea,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Dasia,subcaerulea,,,,,"(Boulenger, 1891)","<span style=""font-style: italic;"">Dasia subcaerulea</span> was described by Boulenger in 1891 as <span style=""font-style: italic;"">Lygosoma subcaeruleum </span>based on a specimen collected from Bodanai-Kannur, Travancore (presently Bodinayakanur in Theni district of Tamil Nadu), India (Smith 1935).  Joshua and Sekar (1984) assigned Indian specimens they collected to the Sri Lankan endemic <em>D. haliana</em>, and a number of additional records of this species have since been reported from India (see Wickramasinghe <em>et al.</em> 2011). Examined material of Indian ""<em>D. haliana</em>"" has recently been found to represent <em>D. subcaerulea</em> (Wickramasinghe <em>et al.</em> 2011, using the incorrect nomina <em>Dasia halianus </em>and<em> D. subcaeruleum</em>). The specimens collected by Joshua and Sekar (1984) were apparently not preserved and so cannot be examined, and in the absence of evidence to the contrary all records of <em>D. haliana </em>from India are considered to belong instead to <em>D. subcaerulea</em> (Wickramasinghe <em>et al.</em> 2011)."
172630,Cnemaspis jerdonii,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Cnemaspis,jerdonii,,,,,"(Theobald, 1868)","<span style=""font-style: italic;"">Cnemaspis jerdonii</span> was described by Theobald in1868, however, no type locality was mentioned in the type description (Smith 1935, Das and Bauer 2000). The taxon <span style=""font-style: italic;"">scalpensis</span>, which was described from Sri Lanka (Ferguson 1877) and long considered a subspecies of <span style=""font-style: italic;"">Cnemaspis jerdonii</span>, has been elevated to species level (Wickramasinghe and Munindradasa 2007). &#160;As with the other members of the genus&#160;<em>Cnemaspis</em>, populations north and south of the Palghat Gap need taxonomic revalidation. &#160;Species boundaries in the&#160;<em>C. kandiana</em>&#160;complex generally need to be critically re-evaluated."
172636,Cnemaspis goaensis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Cnemaspis,goaensis,,,,,"Sharma, 1976","<span style=""font-style: italic;"">Cnemaspis goaensis </span>was described from Ponguinim, Canocona Taluka, South Goa, Goa (Sharma 1976). It is likely that <em>C. indraneildasii&#160;</em>is a junior synonym of <em>C. goaensis</em>, based on molecular evidence that the two species exhibit ""minimal genetic distances"" (Sayeed <em>et al.</em> 2018)."
172648,Cnemaspis wynadensis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Cnemaspis,wynadensis,,,,,"(Beddome, 1870)","<span style=""font-style: italic;"">Cnemaspis wynadensis </span>was  described by Beddome in 1870 based on specimens collected from Wayanad.<span style=""font-style: italic;""><br/></span>"
172654,Ahaetulla perroteti,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Ahaetulla,perroteti,,,,,"(Duméril, Bibron &amp; Duméril, 1854)","<span style=""font-style: italic;"">Ahaetulla perroteti </span>was described by Duméril, Bibron and Duméril in in 1854 as <span style=""font-style: italic;"">Psammophis perroteti </span>based on specimens collected from India (Smith 1943). No specific type locality has been assigned so far."
172669,Dendrelaphis caudolineolatus,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dendrelaphis,caudolineolatus,,,,,"(Günther, 1869)",This is a complex of more than one species that requires taxonomic revision&#160;(M. Wickramasinghe pers. comm. 2019).
